Non_UK_1,UK_2,UNIc_3,UK_4,Non_UK_5
48.75,43.75,42.5,42.5,46.25
58.75,47.5,46.25,43.75,68.75
58.75,48.75,47.5,43.75,70
62.5,51.25,48.75,45,72.5
66.25,52.5,55,45,72.5
67.5,52.5,60,45,73.75
68.75,53.75,60,46.25,75
72.5,53.75,61.25,46.25,76.25
72.5,55,61.25,48.75,76.25
72.5,55,61.25,48.75,76.25
72.5,56.25,61.25,48.75,77.5
73.75,56.25,67.5,50,80
77.5,57.5,68.75,50,80
77.5,58.75,70,50,81.25
77.5,60,71.25,50,81.25
77.5,60,72.5,51.25,82.5
78.75,60,72.5,51.25,82.5
78.75,60,73.75,52.5,82.5
80,60,73.75,52.5,88.75
80,61.25,73.75,52.5,90
80,62.5,75,53.75,90
83.75,62.5,75,55,90
83.75,62.5,75,56.25,92.5
83.75,62.5,75,56.25,93.75
85,62.5,76.25,56.25,93.75
86.25,62.5,76.25,56.25,
87.5,62.5,78.75,57.5,
87.5,62.5,81.25,58.75,
87.5,63.75,82.5,58.75,
87.5,65,83.75,58.75,
88.75,65,85,58.75,
88.75,65,85,58.75,
90,65,85,58.75,
90,65,86.25,60,
92.5,66.25,86.25,60,
92.5,66.25,87.5,61.25,
93.75,66.25,87.5,62.5,
96.25,66.25,90,62.5,
100,67.5,90,62.5,
100,67.5,91.25,62.5,
100,67.5,91.25,62.5,
100,68.75,91.25,63.75,
100,68.75,91.25,63.75,
,70,92.5,63.75,
,70,92.5,63.75,
,70,92.5,63.75,
,70,92.5,65,
,71.25,92.5,66.25,
,71.25,92.5,66.25,
,71.25,93.75,66.25,
,71.25,95,67.5,
,71.25,95,67.5,
,71.25,95,67.5,
,72.5,96.25,67.5,
,72.5,97.5,67.5,
,73.75,100,67.5,
,73.75,100,70,
,73.75,100,70,
,73.75,,70,
,73.75,,70,
,73.75,,70,
,75,,70,
,75,,70,
,75,,70,
,75,,71.25,
,75,,71.25,
,75,,71.25,
,75,,71.25,
,75,,71.25,
,75,,72.5,
,76.25,,72.5,
,76.25,,72.5,
,76.25,,72.5,
,76.25,,73.75,
,76.25,,73.75,
,76.25,,73.75,
,76.25,,73.75,
,77.5,,75,
,77.5,,75,
,77.5,,75,
,77.5,,75,
,77.5,,75,
,77.5,,75,
,78.75,,75,
,78.75,,75,
,78.75,,75,
,78.75,,75,
,80,,75,
,80,,75,
,80,,75,
,80,,75,
,80,,75,
,80,,75,
,81.25,,75,
,81.25,,75,
,81.25,,75,
,82.5,,77.5,
,83.75,,77.5,
,83.75,,77.5,
,83.75,,77.5,
,83.75,,78.75,
,85,,78.75,
,87.5,,78.75,
,87.5,,78.75,
,87.5,,78.75,
,88.75,,78.75,
,88.75,,80,
,88.75,,80,
,90,,80,
,91.25,,80,
,91.25,,81.25,
,91.25,,81.25,
,91.25,,81.25,
,92.5,,81.25,
,92.5,,82.5,
,92.5,,82.5,
,92.5,,82.5,
,92.5,,83.75,
,93.75,,83.75,
,93.75,,85,
,95,,85,
,95,,87.5,
,96.25,,88.75,
,96.25,,88.75,
,96.25,,88.75,
,96.25,,91.25,
,96.25,,92.5,
,96.25,,92.5,
,96.25,,92.5,
,100,,95,
,100,,96.25,
,100,,96.25,
,100,,96.25,
,100,,96.25,
,,,96.25,
,,,97.5,
,,,97.5,
,,,97.5,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
,,,100,
