Non_UK_1,UK_2,UNIc_3,UK_4,Non_UK_5
92.5,61.25,85,100,73.75
87.5,73.75,91.25,72.5,68.75
58.75,71.25,71.25,75,93.75
90,62.5,90,75,72.5
86.25,88.75,73.75,78.75,75
72.5,71.25,73.75,51.25,82.5
92.5,70,46.25,75,80
48.75,62.5,92.5,55,70
78.75,76.25,97.5,71.25,72.5
87.5,75,61.25,43.75,80
100,76.25,72.5,53.75,76.25
80,80,87.5,61.25,77.5
62.5,96.25,42.5,97.5,93.75
78.75,60,75,100,81.25
73.75,88.75,86.25,70,90
88.75,81.25,60,88.75,76.25
88.75,93.75,100,52.5,82.5
100,57.5,92.5,58.75,46.25
72.5,53.75,85,92.5,76.25
68.75,75,61.25,63.75,92.5
83.75,43.75,78.75,58.75,88.75
77.5,56.25,81.25,66.25,81.25
72.5,63.75,82.5,66.25,82.5
72.5,87.5,76.25,63.75,90
77.5,80,91.25,72.5,90
87.5,78.75,96.25,72.5,
67.5,62.5,70,70,
58.75,81.25,95,92.5,
96.25,52.5,91.25,63.75,
100,100,92.5,75,
93.75,77.5,100,82.5,
100,73.75,93.75,82.5,
77.5,52.5,91.25,50,
77.5,60,92.5,85,
83.75,62.5,55,46.25,
80,73.75,100,73.75,
83.75,66.25,38.75,48.75,
80,87.5,67.5,75,
66.25,78.75,75,77.5,
90,83.75,86.25,75,
85,66.25,92.5,42.5,
100,95,72.5,78.75,
87.5,92.5,85,67.5,
,92.5,68.75,56.25,
,92.5,73.75,70,
,92.5,90,75,
,60,87.5,58.75,
,73.75,83.75,66.25,
,95,61.25,96.25,
,76.25,48.75,62.5,
,77.5,95,100,
,96.25,76.25,78.75,
,67.5,75,75,
,28.75,61.25,75,
,100,60,62.5,
,68.75,47.5,88.75,
,75,92.5,67.5,
,75,75,63.75,
,51.25,95,100,
,83.75,37.5,70,
,80,,100,
,62.5,,81.25,
,70,,48.75,
,96.25,,63.75,
,71.25,,73.75,
,60,,56.25,
,41.25,,81.25,
,100,,100,
,71.25,,81.25,
,60,,67.5,
,91.25,,67.5,
,62.5,,96.25,
,100,,96.25,
,85,,81.25,
,65,,62.5,
,78.75,,65,
,73.75,,80,
,75,,67.5,
,90,,75,
,96.25,,75,
,77.5,,50,
,62.5,,70,
,83.75,,35,
,75,,80,
,76.25,,52.5,
,70,,97.5,
,47.5,,75,
,65,,80,
,58.75,,75,
,41.25,,77.5,
,67.5,,70,
,71.25,,97.5,
,73.75,,75,
,91.25,,78.75,
,72.5,,71.25,
,65,,8.75,
,65,,100,
,76.25,,75,
,80,,96.25,
,68.75,,45,
,76.25,,100,
,82.5,,80,
,66.25,,75,
,83.75,,73.75,
,91.25,,83.75,
,75,,78.75,
,55,,50,
,80,,91.25,
,67.5,,58.75,
,88.75,,77.5,
,33.75,,60,
,92.5,,71.25,
,62.5,,88.75,
,65,,75,
,72.5,,62.5,
,77.5,,60,
,35,,62.5,
,96.25,,87.5,
,91.25,,70,
,77.5,,50,
,100,,75,
,93.75,,58.75,
,48.75,,95,
,75,,48.75,
,75,,75,
,96.25,,100,
,70,,45,
,80,,92.5,
,66.25,,73.75,
,71.25,,57.5,
,56.25,,82.5,
,78.75,,52.5,
,76.25,,56.25,
,87.5,,71.25,
,38.75,,67.5,
,96.25,,78.75,
,77.5,,77.5,
,40,,96.25,
,53.75,,43.75,
,81.25,,72.5,
,55,,46.25,
,,,100,
,,,100,
,,,71.25,
,,,51.25,
,,,100,
,,,58.75,
,,,83.75,
,,,56.25,
,,,45,
,,,85,
,,,70,
