date_of_hand_exam,location,location_index,station_score 
7/9/2019,Non-UK,1,92.5
7/9/2019,Non-UK,1,87.5
7/9/2019,Non-UK,1,58.75
7/9/2019,Non-UK,1,90
7/9/2019,Non-UK,1,86.25
7/9/2019,Non-UK,1,72.5
7/9/2019,Non-UK,1,92.5
7/9/2019,Non-UK,1,48.75
7/9/2019,Non-UK,1,78.75
7/9/2019,Non-UK,1,87.5
7/9/2019,Non-UK,1,100
7/9/2019,Non-UK,1,80
7/9/2019,Non-UK,1,62.5
7/9/2019,Non-UK,1,78.75
7/9/2019,Non-UK,1,73.75
7/9/2019,Non-UK,1,88.75
7/9/2019,Non-UK,1,88.75
7/9/2019,Non-UK,1,100
7/9/2019,Non-UK,1,72.5
7/9/2019,Non-UK,1,68.75
7/9/2019,Non-UK,1,83.75
7/9/2019,Non-UK,1,77.5
7/9/2019,Non-UK,1,72.5
7/9/2019,Non-UK,1,72.5
7/9/2019,Non-UK,1,77.5
7/9/2019,Non-UK,1,87.5
7/9/2019,Non-UK,1,67.5
7/9/2019,Non-UK,1,58.75
7/9/2019,Non-UK,1,96.25
7/9/2019,Non-UK,1,100
7/9/2019,Non-UK,1,93.75
7/9/2019,Non-UK,1,100
7/9/2019,Non-UK,1,77.5
7/9/2019,Non-UK,1,77.5
7/9/2019,Non-UK,1,83.75
7/9/2019,Non-UK,1,80
7/9/2019,Non-UK,1,83.75
7/9/2019,Non-UK,1,80
7/9/2019,Non-UK,1,66.25
7/9/2019,Non-UK,1,90
7/9/2019,Non-UK,1,85
7/9/2019,Non-UK,1,100
7/9/2019,Non-UK,1,87.5
7/10/2019,UK,2,61.25
7/10/2019,UK,2,73.75
7/10/2019,UK,2,71.25
7/10/2019,UK,2,62.5
7/10/2019,UK,2,88.75
7/10/2019,UK,2,71.25
7/10/2019,UK,2,70
7/10/2019,UK,2,62.5
7/10/2019,UK,2,76.25
7/10/2019,UK,2,75
7/10/2019,UK,2,76.25
7/10/2019,UK,2,80
7/10/2019,UK,2,96.25
7/10/2019,UK,2,60
7/10/2019,UK,2,88.75
7/10/2019,UK,2,81.25
7/10/2019,UK,2,93.75
7/10/2019,UK,2,57.5
7/10/2019,UK,2,53.75
7/10/2019,UK,2,75
7/10/2019,UK,2,43.75
7/10/2019,UK,2,56.25
7/10/2019,UK,2,63.75
7/10/2019,UK,2,87.5
7/10/2019,UK,2,80
7/10/2019,UK,2,78.75
7/10/2019,UK,2,62.5
7/10/2019,UK,2,81.25
7/10/2019,UK,2,52.5
7/10/2019,UK,2,100
7/10/2019,UK,2,77.5
7/10/2019,UK,2,73.75
7/10/2019,UK,2,52.5
7/10/2019,UK,2,60
7/10/2019,UK,2,62.5
7/10/2019,UK,2,73.75
7/10/2019,UK,2,66.25
7/10/2019,UK,2,87.5
7/10/2019,UK,2,78.75
7/10/2019,UK,2,83.75
7/10/2019,UK,2,66.25
7/10/2019,UK,2,95
7/10/2019,UK,2,92.5
7/10/2019,UK,2,92.5
7/10/2019,UK,2,92.5
7/10/2019,UK,2,92.5
7/10/2019,UK,2,60
7/10/2019,UK,2,73.75
7/10/2019,UK,2,95
7/10/2019,UK,2,76.25
7/10/2019,UK,2,77.5
7/10/2019,UK,2,96.25
7/10/2019,UK,2,67.5
7/10/2019,UK,2,28.75
7/10/2019,UK,2,100
7/10/2019,UK,2,68.75
7/10/2019,UK,2,75
7/10/2019,UK,2,75
7/10/2019,UK,2,51.25
7/10/2019,UK,2,83.75
7/10/2019,UK,2,80
7/10/2019,UK,2,62.5
7/10/2019,UK,2,70
7/10/2019,UK,2,96.25
7/10/2019,UK,2,71.25
7/10/2019,UK,2,60
7/10/2019,UK,2,41.25
7/10/2019,UK,2,100
7/10/2019,UK,2,71.25
7/10/2019,UK,2,60
7/10/2019,UK,2,91.25
7/10/2019,UK,2,62.5
7/10/2019,UK,2,100
7/10/2019,UK,2,85
7/10/2019,UK,2,65
7/10/2019,UK,2,78.75
7/10/2019,UK,2,73.75
7/10/2019,UK,2,75
7/10/2019,UK,2,90
7/10/2019,UK,2,96.25
7/10/2019,UK,2,77.5
7/10/2019,UK,2,62.5
